task_id,source_task_id,machine_type,machine_model,task_type,operator_skill_level,operator_experience_years,material_type,material_density,target_quantity,terrain_type,terrain_slope_percent,soil_moisture,weather_condition,temperature_c,rainfall_mm,visibility_m,distance_m,machine_age_years,idle_ratio,average_engine_load,average_rpm,estimated_duration_min,actual_duration_min
TH02012,,ARTICULATED_HAULER,AH-226D,Soil Compaction,EXPERT,19.9,SAND,1.5,3967.9,ROLLING,9.4,24.1,FOG,26.7,0.7,237.0,760.0,2.4,0.181,48.5,1532.0,241.7,415.9
TH02013,,ARTICULATED_HAULER,AH-140D2,Soil Compaction,INTERMEDIATE,2.1,CRUSHED_STONE,1.7,4833.2,ROLLING,0.0,3.0,SUNNY,19.0,0.0,7540.0,3011.0,7.4,0.112,69.4,1762.0,396.2,401.1
TH02014,,BACKHOE_LOADER,BL-986GC,Material Stockpiling,INTERMEDIATE,7.6,ASPHALT_MILLINGS,1.4,1107.7,ROLLING,10.2,9.5,SUNNY,20.2,0.0,9230.0,3363.0,10.6,0.09,70.7,2400.0,505.1,823.0
TH02015,,DOZER,DZ-950D,Grading,BEGINNER,0.6,ASPHALT_MILLINGS,1.4,2112.4,MOUNTAINOUS,12.9,13.0,CLOUDY,11.6,0.0,5113.0,2935.0,1.6,0.157,75.6,1545.0,254.7,342.1
TH02016,,WHEEL_LOADER,WL-390D2,Material Loading,EXPERT,11.3,GRAVEL,1.8,291.5,ROLLING,8.3,17.0,WINDY,17.6,0.0,8889.0,1268.0,14.3,0.04,28.3,1626.0,61.2,72.9
TH02017,,MOTOR_GRADER,MG-986D2,Road Preparation,EXPERT,15.9,CLAY,1.6,1287.3,HILLY,12.0,15.4,SUNNY,29.8,0.0,8715.0,2565.0,11.1,0.024,75.0,1126.0,78.3,100.9
TH02018,,ARTICULATED_HAULER,AH-336,Hauling,EXPERT,20.5,CLAY,1.6,336.0,UNEVEN,0.0,12.2,SUNNY,21.9,0.0,6309.0,2286.0,8.5,0.102,24.3,1383.0,101.1,139.6
TH02019,,ARTICULATED_HAULER,AH-226D,Hauling,INTERMEDIATE,5.0,GRAVEL,1.8,533.7,ROLLING,5.7,12.8,SUNNY,19.2,0.0,6613.0,3391.0,2.4,0.07,88.5,1671.0,179.1,350.0
TH02020,,MOTOR_GRADER,MG-390D2,Road Preparation,INTERMEDIATE,7.6,TOPSOIL,1.3,1148.4,FLAT,2.3,10.6,SUNNY,14.1,0.0,9993.0,399.0,8.3,0.101,62.1,1651.0,82.3,83.3
TH02021,,BACKHOE_LOADER,BL-220GC,Hauling,INTERMEDIATE,2.1,SAND,1.5,608.0,UNEVEN,0.0,8.6,WINDY,21.4,0.0,7924.0,725.0,3.0,0.091,82.4,1716.0,439.6,510.1
TH02022,,WHEEL_LOADER,WL-390,Material Loading,BEGINNER,1.4,TOPSOIL,1.3,1615.5,UNEVEN,0.0,38.1,STORM,24.4,17.8,210.0,1789.0,9.6,0.192,48.1,1629.0,506.3,1421.6
TH02023,,ARTICULATED_HAULER,AH-349D,Hauling,BEGINNER,1.6,GRAVEL,1.8,445.2,ROLLING,5.6,28.2,RAINY,24.8,5.6,341.0,2067.0,0.8,0.243,71.1,1747.0,195.0,430.2
TH02024,,MOTOR_GRADER,MG-220D2,Grading,EXPERT,20.5,SAND,1.5,3695.2,UNEVEN,2.9,41.0,RAINY,20.4,6.5,1953.0,1989.0,1.2,0.171,83.5,1111.0,154.9,225.0
TH02025,,COMPACTOR,CP-986D2,Soil Compaction,BEGINNER,1.0,CRUSHED_STONE,1.7,2549.4,ROLLING,4.4,10.8,SUNNY,32.3,0.0,6548.0,2920.0,8.3,0.182,66.6,1445.0,120.0,142.0
TH02026,,EXCAVATOR,EX-320GC,Earth Excavation,EXPERT,12.7,CRUSHED_STONE,1.7,307.8,MOUNTAINOUS,13.2,67.9,STORM,15.4,31.5,64.0,1946.0,5.3,0.01,41.8,1505.0,76.3,242.6
TH02027,,DOZER,DZ-972,Material Stockpiling,BEGINNER,1.8,TOPSOIL,1.3,812.6,UNEVEN,0.0,4.1,FOG,18.3,0.8,259.0,172.0,2.3,0.296,65.5,2319.0,217.3,336.3
TH02028,,EXCAVATOR,EX-226D2,Road Preparation,INTERMEDIATE,3.9,TOPSOIL,1.3,855.6,MOUNTAINOUS,16.6,9.8,WINDY,16.8,0.0,7418.0,2904.0,1.1,0.254,68.0,1430.0,119.2,189.7
TH02029,,BACKHOE_LOADER,BL-390D2,Material Loading,INTERMEDIATE,5.0,CRUSHED_STONE,1.7,755.1,UNEVEN,1.0,7.2,CLOUDY,24.3,0.0,6799.0,701.0,4.2,0.073,47.4,1810.0,297.2,340.8
TH02030,,WHEEL_LOADER,WL-986,Material Stockpiling,EXPERT,14.9,CRUSHED_STONE,1.7,2293.9,MOUNTAINOUS,22.5,9.0,SUNNY,27.1,0.0,9178.0,3127.0,11.8,0.019,48.4,1886.0,411.6,858.5
TH02031,,BACKHOE_LOADER,BL-220GC,Trenching,EXPERT,14.9,CLAY,1.6,402.2,UNEVEN,0.0,4.9,SUNNY,14.4,0.0,6451.0,1898.0,3.0,0.031,62.4,1351.0,197.0,205.7
TH02032,,ARTICULATED_HAULER,AH-336,Hauling,INTERMEDIATE,7.6,ASPHALT_MILLINGS,1.4,1041.0,UNEVEN,1.9,12.6,SUNNY,39.6,0.0,8231.0,2645.0,8.5,0.049,26.5,1467.0,344.1,469.7
TH02033,,MOTOR_GRADER,MG-390D2,Road Preparation,INTERMEDIATE,4.6,GRAVEL,1.8,1396.2,FLAT,2.1,3.0,CLOUDY,23.6,0.0,8646.0,2753.0,8.3,0.081,43.8,1457.0,104.6,101.3
TH02034,,BACKHOE_LOADER,BL-986GC,Trenching,BEGINNER,2.3,GRAVEL,1.8,462.9,MOUNTAINOUS,7.3,18.7,CLOUDY,9.7,0.0,6619.0,1097.0,7.3,0.039,49.1,1563.0,348.3,393.5
TH02035,,EXCAVATOR,EX-140GC,Demolition,INTERMEDIATE,7.6,GRAVEL,1.8,93.9,UNEVEN,2.0,3.0,CLOUDY,18.4,0.0,4605.0,881.0,5.6,0.193,87.8,1750.0,38.4,44.7
TH02036,,ARTICULATED_HAULER,AH-120D2,Hauling,EXPERT,17.3,GRAVEL,1.8,100.8,UNEVEN,7.5,78.9,STORM,6.2,32.9,189.0,1336.0,2.8,0.188,49.1,1174.0,29.2,122.7
TH02037,,WHEEL_LOADER,WL-390,Grading,EXPERT,14.9,ASPHALT_MILLINGS,1.4,1622.1,UNEVEN,0.0,8.4,CLOUDY,26.5,0.0,6562.0,1358.0,9.6,0.055,53.2,1307.0,125.2,133.9
TH02038,,COMPACTOR,CP-950,Material Stockpiling,INTERMEDIATE,5.0,ROCK_FILL,2.2,119.8,ROLLING,5.8,13.9,SUNNY,15.9,0.0,7638.0,2522.0,3.4,0.07,53.4,2030.0,46.8,66.7
TH02039,,DOZER,DZ-950D,Material Stockpiling,BEGINNER,0.5,CRUSHED_STONE,1.7,2035.6,MOUNTAINOUS,7.0,4.9,RAINY,20.5,2.1,1052.0,1349.0,1.6,0.276,61.7,1383.0,590.3,1165.6
TH02040,,WHEEL_LOADER,WL-390,Soil Compaction,EXPERT,14.9,ASPHALT_MILLINGS,1.4,3296.7,UNEVEN,0.0,16.9,SUNNY,30.3,0.0,7663.0,3334.0,9.6,0.1,83.4,1459.0,215.5,227.1
TH02041,,BACKHOE_LOADER,BL-986GC,Material Stockpiling,INTERMEDIATE,7.0,CLAY,1.6,463.8,MOUNTAINOUS,12.8,19.7,SUNNY,32.3,0.0,6613.0,785.0,7.3,0.147,88.1,1308.0,165.4,227.2
TH02042,,MOTOR_GRADER,MG-390D2,Road Preparation,EXPERT,15.9,SAND,1.5,1865.1,FLAT,1.6,16.3,SUNNY,18.6,0.0,7904.0,2715.0,8.3,0.064,36.1,1771.0,116.1,126.8
TH02043,,EXCAVATOR,EX-336XE,Earth Excavation,INTERMEDIATE,7.7,ASPHALT_MILLINGS,1.4,95.9,UNEVEN,6.5,6.2,SUNNY,22.7,0.0,5059.0,2058.0,4.7,0.052,,1803.0,27.3,23.2
TH02044,,MOTOR_GRADER,MG-986D2,Trenching,BEGINNER,2.5,TOPSOIL,1.3,355.3,HILLY,9.7,14.2,CLOUDY,25.9,0.0,7030.0,414.0,11.1,0.138,44.3,1605.0,447.2,563.8
TH02045,,MOTOR_GRADER,MG-986XE,Material Loading,INTERMEDIATE,3.9,ASPHALT_MILLINGS,1.4,2490.1,FLAT,2.2,13.3,FOG,30.3,0.2,111.0,444.0,12.4,0.16,64.4,1970.0,1095.1,1812.7
TH02046,,EXCAVATOR,EX-220XE,Grading,INTERMEDIATE,6.8,TOPSOIL,1.3,4775.4,ROLLING,6.4,7.0,CLOUDY,29.6,0.0,4027.0,1006.0,10.9,0.046,81.1,1752.0,378.4,392.6
TH02047,,BACKHOE_LOADER,BL-220GC,Earth Excavation,INTERMEDIATE,5.5,SAND,1.5,1069.4,UNEVEN,2.9,3.0,CLOUDY,23.3,0.0,7999.0,2693.0,3.0,0.17,55.4,1362.0,544.3,604.4
TH02048,,DOZER,DZ-349D,Demolition,BEGINNER,1.8,SAND,1.5,670.0,ROLLING,9.5,21.6,SUNNY,21.9,0.0,6633.0,2858.0,10.1,0.255,70.6,2400.0,358.2,399.8
TH02049,,EXCAVATOR,EX-972,Earth Excavation,INTERMEDIATE,7.0,ASPHALT_MILLINGS,1.4,981.2,UNEVEN,4.5,26.5,CLOUDY,25.6,0.0,5388.0,1549.0,7.8,0.139,39.6,1667.0,291.0,291.4
TH02050,,EXCAVATOR,EX-140GC,Material Loading,EXPERT,20.5,CRUSHED_STONE,1.7,2467.4,UNEVEN,0.0,16.0,CLOUDY,15.1,0.0,5920.0,2780.0,5.6,0.142,90.7,1569.0,500.6,540.1
TH02051,,WHEEL_LOADER,WL-140XE,Material Loading,BEGINNER,1.0,ROCK_FILL,2.2,648.5,UNEVEN,0.0,19.2,SUNNY,34.3,0.0,,3349.0,8.1,0.288,47.9,1253.0,204.8,288.1
TH02052,,MOTOR_GRADER,MG-160D,Grading,INTERMEDIATE,5.5,ROCK_FILL,2.2,5625.1,UNEVEN,0.2,4.1,CLOUDY,20.4,0.0,3833.0,1857.0,7.7,0.056,36.3,2114.0,269.2,272.6
TH02053,,EXCAVATOR,EX-320GC,Material Loading,INTERMEDIATE,5.5,ASPHALT_MILLINGS,1.4,769.4,MOUNTAINOUS,9.9,17.7,RAINY,28.6,6.5,1458.0,395.0,5.3,0.188,26.4,1413.0,179.1,314.6
TH02054,,BACKHOE_LOADER,BL-390,Trenching,BEGINNER,2.5,ASPHALT_MILLINGS,1.4,132.4,FLAT,0.0,3.0,CLOUDY,28.6,0.0,4697.0,2937.0,10.5,0.235,49.4,1763.0,96.0,102.4
TH02055,,COMPACTOR,CP-950,Road Preparation,INTERMEDIATE,2.1,SAND,1.5,812.2,ROLLING,5.0,12.6,CLOUDY,16.8,0.0,4277.0,1707.0,3.4,0.046,73.6,1621.0,63.3,60.8
TH02056,,MOTOR_GRADER,MG-220D2,Grading,INTERMEDIATE,5.5,CRUSHED_STONE,1.7,5958.7,UNEVEN,0.0,14.6,WINDY,20.9,0.0,8126.0,972.0,1.2,0.102,43.3,1668.0,284.7,321.4
TH02057,,BACKHOE_LOADER,BL-390D2,Trenching,BEGINNER,1.8,CLAY,1.6,341.3,UNEVEN,0.0,20.2,SUNNY,29.5,0.0,8010.0,881.0,4.2,0.291,68.0,2103.0,252.9,284.6
TH02058,,ARTICULATED_HAULER,AH-349D,Soil Compaction,EXPERT,18.2,CRUSHED_STONE,1.7,5439.6,ROLLING,12.9,3.5,SUNNY,28.5,0.0,8407.0,1123.0,0.8,0.173,28.3,1670.0,356.1,472.2
TH02059,,DOZER,DZ-986GC,Demolition,INTERMEDIATE,6.8,ASPHALT_MILLINGS,1.4,895.5,FLAT,1.1,5.5,SUNNY,24.1,0.0,9512.0,1517.0,12.0,0.06,78.4,1583.0,357.5,347.6
TH02060,,EXCAVATOR,EX-336XE,Trenching,BEGINNER,0.8,TOPSOIL,1.3,220.4,UNEVEN,3.3,37.8,STORM,22.6,17.2,273.0,2397.0,4.7,0.214,55.9,1875.0,177.9,525.6
TH02061,,DOZER,DZ-972,Earth Excavation,BEGINNER,1.4,ROCK_FILL,2.2,1160.4,UNEVEN,0.0,29.9,SUNNY,25.3,0.0,9997.0,3403.0,2.3,0.099,42.3,1459.0,682.1,739.9
TH02062,,WHEEL_LOADER,WL-140XE,Material Loading,INTERMEDIATE,3.6,CRUSHED_STONE,1.7,630.2,UNEVEN,0.7,9.5,WINDY,12.9,0.0,7140.0,3046.0,8.1,0.194,51.9,1501.0,152.8,188.7
TH02063,,WHEEL_LOADER,WL-336,Earth Excavation,INTERMEDIATE,2.6,SAND,1.5,251.1,ROLLING,10.3,17.6,SUNNY,30.4,0.0,8578.0,1598.0,7.7,0.147,70.6,1473.0,150.5,176.9
TH02064,,BACKHOE_LOADER,BL-986GC,Earth Excavation,EXPERT,12.7,CRUSHED_STONE,1.7,465.9,ROLLING,7.8,21.2,SUNNY,30.0,0.0,8528.0,1650.0,10.6,0.01,82.2,1194.0,213.2,248.7
TH02065,,EXCAVATOR,EX-336XE,Earth Excavation,EXPERT,15.9,CRUSHED_STONE,1.7,719.4,UNEVEN,0.0,25.5,SUNNY,25.0,0.0,7237.0,2242.0,4.7,0.065,44.7,1183.0,174.9,165.7
TH02066,,WHEEL_LOADER,WL-972XE,Material Stockpiling,EXPERT,18.2,SAND,1.5,1599.5,FLAT,4.7,21.2,CLOUDY,14.6,0.0,3803.0,1218.0,14.4,0.173,51.1,1529.0,295.2,403.2
TH02067,,WHEEL_LOADER,WL-390,Material Loading,INTERMEDIATE,5.1,GRAVEL,1.8,1838.1,UNEVEN,0.0,3.0,SUNNY,,0.0,9227.0,3182.0,9.6,0.166,44.5,2031.0,436.9,432.1
TH02068,,DOZER,DZ-986D2,Road Preparation,EXPERT,23.6,SAND,1.5,1652.7,FLAT,5.6,14.8,FOG,30.1,0.6,164.0,792.0,13.6,0.113,24.4,1525.0,99.3,176.1
TH02069,,COMPACTOR,CP-950,Soil Compaction,INTERMEDIATE,5.5,TOPSOIL,1.3,2875.6,ROLLING,8.8,28.3,RAINY,31.1,5.5,1101.0,2990.0,3.4,0.199,35.7,1653.0,104.5,144.0
TH02070,,EXCAVATOR,EX-220XE,Material Loading,EXPERT,22.8,ROCK_FILL,2.2,103.4,ROLLING,1.6,7.1,SUNNY,1.7,0.0,6268.0,1958.0,10.9,0.072,99.8,1765.0,20.5,22.3
TH02071,,BACKHOE_LOADER,BL-986GC,Trenching,EXPERT,17.3,ASPHALT_MILLINGS,1.4,68.9,ROLLING,7.8,9.0,SUNNY,24.6,0.0,5329.0,1635.0,10.6,0.089,57.7,1470.0,34.6,40.1
TH02072,,WHEEL_LOADER,WL-986,Material Stockpiling,INTERMEDIATE,4.4,GRAVEL,1.8,1263.7,MOUNTAINOUS,17.9,14.2,SUNNY,22.1,0.0,9195.0,385.0,11.8,0.217,72.8,1597.0,275.3,395.5
TH02073,,WHEEL_LOADER,WL-986,Grading,INTERMEDIATE,7.7,CRUSHED_STONE,1.7,2590.1,MOUNTAINOUS,24.6,25.3,RAINY,19.6,11.1,738.0,3065.0,11.8,0.01,64.5,1816.0,249.0,495.4
TH02074,,DOZER,DZ-950D,Road Preparation,INTERMEDIATE,6.8,SAND,1.5,952.2,MOUNTAINOUS,0.8,7.1,SUNNY,35.3,0.0,6170.0,3288.0,1.6,0.01,30.2,1498.0,69.3,67.0
TH02075,,BACKHOE_LOADER,BL-986GC,Demolition,INTERMEDIATE,6.7,TOPSOIL,1.3,1146.7,ROLLING,7.1,12.1,WINDY,34.9,0.0,7847.0,1729.0,10.6,0.134,51.1,1418.0,755.9,793.4
TH02076,,BACKHOE_LOADER,BL-986GC,Earth Excavation,EXPERT,19.9,CLAY,1.6,732.7,ROLLING,4.3,15.5,SUNNY,18.7,0.0,7299.0,2366.0,10.6,0.196,69.3,1795.0,281.5,307.3
TH02077,,EXCAVATOR,EX-226XE,Earth Excavation,INTERMEDIATE,7.7,GRAVEL,1.8,249.5,FLAT,1.1,25.7,CLOUDY,29.1,0.0,6245.0,2552.0,13.8,0.064,78.9,1702.0,74.0,83.5
TH02078,,WHEEL_LOADER,WL-140XE,Material Stockpiling,BEGINNER,0.5,SAND,1.5,1809.2,UNEVEN,0.0,26.3,SUNNY,14.5,0.0,5910.0,2976.0,8.1,0.257,29.4,1257.0,525.4,882.2
TH02079,,DOZER,DZ-986GC,Demolition,INTERMEDIATE,7.7,CLAY,1.6,965.1,FLAT,0.0,19.8,CLOUDY,29.2,0.0,5096.0,2277.0,12.0,0.174,50.8,1287.0,372.3,417.7
TH02080,,MOTOR_GRADER,MG-336GC,Earth Excavation,INTERMEDIATE,5.0,TOPSOIL,1.3,572.6,FLAT,1.4,53.1,STORM,14.5,19.4,74.0,824.0,10.0,0.035,100.0,1873.0,257.4,695.7
TH02081,,BACKHOE_LOADER,BL-220GC,Trenching,INTERMEDIATE,2.6,ROCK_FILL,2.2,252.3,UNEVEN,2.3,3.0,SUNNY,,0.0,6681.0,1967.0,3.0,0.259,59.4,1839.0,157.7,163.3
TH02082,,DOZER,DZ-986GC,Road Preparation,INTERMEDIATE,7.7,CRUSHED_STONE,1.7,4826.6,FLAT,0.0,21.2,SUNNY,34.4,0.0,,561.0,12.0,0.191,72.5,2143.0,354.1,407.1
TH02083,,MOTOR_GRADER,MG-160D,Road Preparation,INTERMEDIATE,3.9,ASPHALT_MILLINGS,1.4,4727.2,UNEVEN,0.0,25.5,CLOUDY,21.0,0.0,3645.0,557.0,7.7,0.01,53.3,1566.0,334.0,299.8
TH02084,,WHEEL_LOADER,WL-986,Material Stockpiling,INTERMEDIATE,7.0,CRUSHED_STONE,1.7,1093.7,MOUNTAINOUS,21.9,23.7,CLOUDY,32.1,0.0,6579.0,871.0,11.8,0.278,43.9,1377.0,236.6,332.2
TH02085,,DOZER,DZ-349D,Material Stockpiling,INTERMEDIATE,3.9,ROCK_FILL,2.2,620.7,ROLLING,7.5,3.0,SUNNY,34.0,0.0,7693.0,3109.0,10.1,0.224,50.1,1273.0,133.7,257.9
TH02086,,DOZER,DZ-349D,Earth Excavation,INTERMEDIATE,5.5,ROCK_FILL,2.2,364.9,ROLLING,8.2,34.8,RAINY,24.1,3.5,1387.0,3280.0,10.1,0.071,72.4,1741.0,222.9,366.0
TH02087,,EXCAVATOR,EX-950D2,Material Loading,INTERMEDIATE,7.7,CLAY,1.6,1966.2,HILLY,9.6,10.5,CLOUDY,17.9,0.0,6909.0,1366.0,3.2,0.01,54.2,1655.0,474.1,518.0
TH02088,,DOZER,DZ-950D,Road Preparation,BEGINNER,1.8,CRUSHED_STONE,1.7,1432.3,MOUNTAINOUS,12.3,3.0,SUNNY,25.2,0.0,7946.0,417.0,1.6,0.267,44.3,2400.0,129.5,163.5
TH02089,,DOZER,DZ-160GC,Hauling,INTERMEDIATE,5.0,ROCK_FILL,2.2,904.7,MOUNTAINOUS,18.3,12.0,CLOUDY,12.8,0.0,3302.0,1850.0,14.4,0.01,59.0,1791.0,588.1,1136.9
TH02090,,DOZER,DZ-972,Material Stockpiling,INTERMEDIATE,7.6,CRUSHED_STONE,1.7,837.1,UNEVEN,1.2,13.8,CLOUDY,16.0,0.0,4659.0,253.0,2.3,0.095,40.3,1441.0,180.0,180.1
TH02091,,WHEEL_LOADER,WL-972XE,Material Stockpiling,EXPERT,19.9,SAND,1.5,1102.2,FLAT,0.5,3.0,SUNNY,18.4,0.0,6930.0,3355.0,14.4,0.067,31.5,1632.0,203.1,337.5
TH02092,,DOZER,DZ-349D,Road Preparation,BEGINNER,1.4,ASPHALT_MILLINGS,1.4,1287.0,ROLLING,7.3,3.8,SUNNY,20.2,0.0,9313.0,1216.0,10.1,0.141,72.4,1622.0,122.4,121.7
TH02093,,MOTOR_GRADER,MG-390D2,Road Preparation,INTERMEDIATE,7.1,GRAVEL,1.8,5402.9,FLAT,0.4,19.4,SUNNY,26.4,0.0,5327.0,818.0,8.3,0.183,34.2,1884.0,380.6,414.9
TH02094,,BACKHOE_LOADER,BL-986GC,Trenching,INTERMEDIATE,4.4,GRAVEL,1.8,78.7,ROLLING,10.0,38.0,RAINY,26.8,10.9,1241.0,1606.0,10.6,0.269,52.6,1467.0,45.0,89.5
TH02095,,EXCAVATOR,EX-950D2,Material Loading,INTERMEDIATE,6.3,GRAVEL,1.8,674.6,HILLY,9.9,24.5,SUNNY,37.2,0.0,9584.0,767.0,3.2,0.212,58.1,1462.0,156.6,189.7
TH02096,,BACKHOE_LOADER,BL-986GC,Trenching,EXPERT,23.6,ASPHALT_MILLINGS,1.4,551.1,ROLLING,7.4,18.3,RAINY,23.9,10.8,430.0,3396.0,10.6,0.181,57.2,1626.0,274.2,478.3
TH02097,,EXCAVATOR,EX-972XE,Material Loading,EXPERT,19.9,GRAVEL,1.8,2006.3,FLAT,0.3,18.5,CLOUDY,19.0,0.0,5483.0,172.0,3.7,0.182,29.2,1776.0,403.2,434.9
TH02098,,WHEEL_LOADER,WL-390D2,Hauling,INTERMEDIATE,5.8,CRUSHED_STONE,1.7,2453.6,ROLLING,8.4,9.8,FOG,25.2,0.0,242.0,915.0,14.3,0.153,69.6,1950.0,1717.9,3792.8
TH02099,,BACKHOE_LOADER,BL-986GC,Hauling,INTERMEDIATE,7.7,ROCK_FILL,2.2,2371.7,ROLLING,7.1,12.8,CLOUDY,25.9,0.0,3916.0,689.0,10.6,0.019,51.1,1188.0,1402.5,1693.3
TH02100,,EXCAVATOR,EX-972XE,Demolition,INTERMEDIATE,4.6,CLAY,1.6,206.1,FLAT,0.0,34.0,SUNNY,23.3,0.0,5931.0,950.0,3.7,0.153,59.3,1556.0,82.3,73.3
TH02101,,WHEEL_LOADER,WL-972XE,Material Stockpiling,BEGINNER,0.8,SAND,1.5,1162.5,FLAT,2.0,12.7,FOG,26.4,0.6,89.0,3176.0,14.4,0.157,59.1,1550.0,320.5,869.7
TH02102,,BACKHOE_LOADER,BL-986GC,Trenching,INTERMEDIATE,7.7,ROCK_FILL,2.2,241.1,ROLLING,6.7,17.4,SUNNY,37.8,0.0,8746.0,756.0,10.6,0.142,65.6,1673.0,138.9,174.4
TH02103,,EXCAVATOR,EX-950D2,Trenching,EXPERT,23.4,SAND,1.5,572.3,HILLY,13.9,10.8,SUNNY,20.2,0.0,5122.0,671.0,3.2,0.076,48.8,1380.0,290.8,331.5
TH02104,,COMPACTOR,CP-986D2,Road Preparation,INTERMEDIATE,7.6,ASPHALT_MILLINGS,1.4,759.2,ROLLING,7.0,14.7,SUNNY,23.9,0.0,5806.0,332.0,8.3,0.104,55.0,2117.0,55.7,57.7
TH02105,,EXCAVATOR,EX-140GC,Trenching,BEGINNER,1.0,TOPSOIL,1.3,52.4,UNEVEN,0.6,25.3,RAINY,24.2,2.4,1272.0,254.0,5.6,0.307,19.7,1460.0,40.7,64.9
TH02106,,DOZER,DZ-972,Road Preparation,EXPERT,23.6,SAND,1.5,4445.2,UNEVEN,6.7,18.4,SUNNY,24.0,0.0,7316.0,595.0,2.3,0.108,42.5,1564.0,273.6,307.4
TH02107,,EXCAVATOR,EX-972,Earth Excavation,BEGINNER,1.8,CLAY,1.6,1286.7,UNEVEN,0.0,14.9,CLOUDY,20.6,0.0,8979.0,1877.0,7.8,0.256,45.4,2400.0,497.0,496.3
TH02108,,BACKHOE_LOADER,BL-220GC,Trenching,INTERMEDIATE,7.7,CRUSHED_STONE,1.7,366.5,UNEVEN,0.0,21.2,RAINY,15.0,9.9,1474.0,600.0,3.0,0.052,63.0,1649.0,220.9,313.6
TH02109,,EXCAVATOR,EX-320GC,Trenching,BEGINNER,0.8,GRAVEL,1.8,378.8,MOUNTAINOUS,12.9,18.9,SUNNY,21.1,0.0,6176.0,676.0,5.3,0.226,50.0,1332.0,299.4,346.3
TH02110,,EXCAVATOR,EX-972XE,Trenching,BEGINNER,0.6,ROCK_FILL,2.2,234.1,FLAT,0.5,9.5,CLOUDY,11.2,0.0,8789.0,403.0,3.7,0.237,,1285.0,189.3,185.4
TH02111,,EXCAVATOR,EX-140GC,Trenching,INTERMEDIATE,7.7,ASPHALT_MILLINGS,1.4,500.7,UNEVEN,3.6,29.4,SUNNY,19.9,0.0,5717.0,2372.0,5.6,0.05,52.2,1366.0,288.4,237.9
TH02112,,MOTOR_GRADER,MG-986XE,Road Preparation,INTERMEDIATE,4.4,ASPHALT_MILLINGS,1.4,334.2,FLAT,0.7,21.1,WINDY,22.4,0.0,4455.0,2485.0,12.4,0.226,83.6,1701.0,23.8,28.3
TH02113,,WHEEL_LOADER,WL-986,Material Stockpiling,BEGINNER,0.8,ASPHALT_MILLINGS,1.4,2449.9,MOUNTAINOUS,19.8,33.2,RAINY,28.5,9.3,325.0,2283.0,11.8,0.17,43.9,1466.0,701.9,2258.8
TH02114,,COMPACTOR,CP-950,Soil Compaction,INTERMEDIATE,6.7,GRAVEL,1.8,4846.5,ROLLING,6.4,6.0,SUNNY,12.5,0.0,5187.0,1965.0,3.4,0.086,92.8,1357.0,179.0,202.8
TH02115,,ARTICULATED_HAULER,AH-140D2,Hauling,INTERMEDIATE,3.6,GRAVEL,1.8,1023.3,ROLLING,6.8,9.5,SUNNY,40.8,0.0,7617.0,1849.0,7.4,0.092,43.3,1722.0,366.5,450.6
TH02116,,EXCAVATOR,EX-226XE,Hauling,EXPERT,11.3,ROCK_FILL,2.2,712.2,FLAT,4.1,21.9,SUNNY,26.6,0.0,7344.0,3003.0,13.8,0.055,,2137.0,327.5,561.6
TH02117,,COMPACTOR,CP-986D2,Road Preparation,INTERMEDIATE,5.5,ROCK_FILL,2.2,3290.2,ROLLING,1.7,15.6,CLOUDY,19.9,0.0,4237.0,735.0,8.3,0.164,50.7,1322.0,242.0,231.6
TH02118,,DOZER,DZ-986D2,Road Preparation,INTERMEDIATE,7.0,ROCK_FILL,2.2,1643.5,FLAT,3.7,6.1,SUNNY,14.4,0.0,8895.0,841.0,13.6,0.209,59.2,1358.0,118.1,127.4
TH02119,,BACKHOE_LOADER,BL-220GC,Trenching,INTERMEDIATE,3.6,SAND,1.5,323.4,UNEVEN,0.0,9.6,CLOUDY,23.0,0.0,5913.0,3359.0,3.0,0.259,49.3,1796.0,191.0,250.6
TH02120,,BACKHOE_LOADER,BL-986GC,Trenching,EXPERT,14.9,ASPHALT_MILLINGS,1.4,123.8,MOUNTAINOUS,5.5,5.5,RAINY,25.1,2.2,1923.0,3417.0,7.3,0.119,33.9,1409.0,60.7,78.8
TH02121,,ARTICULATED_HAULER,AH-140D2,Hauling,INTERMEDIATE,4.4,ROCK_FILL,2.2,1393.7,ROLLING,7.3,3.0,SUNNY,,0.0,8283.0,3148.0,7.4,0.212,35.1,1532.0,475.5,1032.7
TH02122,,COMPACTOR,CP-950,Road Preparation,EXPERT,22.8,ROCK_FILL,2.2,2128.3,ROLLING,5.1,75.2,STORM,23.2,31.8,399.0,2542.0,3.4,0.028,68.7,1863.0,134.0,454.9
TH02123,,ARTICULATED_HAULER,AH-336,Hauling,EXPERT,22.8,CRUSHED_STONE,1.7,1427.5,UNEVEN,1.1,9.2,SUNNY,28.3,0.0,8587.0,1250.0,8.5,0.115,100.0,1677.0,411.1,437.1
TH02124,,ARTICULATED_HAULER,AH-140D2,Hauling,INTERMEDIATE,5.0,CRUSHED_STONE,1.7,539.6,ROLLING,7.7,32.4,RAINY,26.6,11.3,591.0,598.0,7.4,0.073,50.7,1709.0,192.5,321.2
TH02125,,DOZER,DZ-972,Road Preparation,EXPERT,17.3,CRUSHED_STONE,1.7,3934.9,UNEVEN,5.1,8.1,SUNNY,11.9,0.0,8234.0,3035.0,2.3,0.15,96.1,1354.0,239.1,231.7
